2024-08-10 08:10:23.729 [main] INFO  cn.minalz.threadpool.ThreadPoolTest - Starting ThreadPoolTest on DESKTOP-O81UJ9D with PID 7660 (started by pc in D:\BBBWorkSpace\study-demo)
2024-08-10 08:10:23.730 [main] INFO  cn.minalz.threadpool.ThreadPoolTest - No active profile set, falling back to default profiles: default
2024-08-10 08:10:24.686 [main] INFO  cn.minalz.threadpool.ExecutorConfig - start asyncServiceExecutor
2024-08-10 08:10:24.687 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - Initializing ExecutorService
2024-08-10 08:10:24.693 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - Initializing ExecutorService 'asyncServiceExecutor'
2024-08-10 08:10:25.970 [main] INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.3.104:5672]
2024-08-10 08:10:26.009 [main] INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3679d92e:0/SimpleConnection@45a1d057 [delegate=amqp://admin@192.168.3.104:5672/my_vhost, localPort= 51366]
2024-08-10 08:10:26.048 [main] INFO  cn.minalz.threadpool.ThreadPoolTest - Started ThreadPoolTest in 2.491 seconds (JVM running for 8.247)
2024-08-10 08:10:26.178 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [0], completedTaskCount [0], activeCount [0], queueSize [0]
2024-08-10 08:10:26.180 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [1], completedTaskCount [0], activeCount [1], queueSize [0]
2024-08-10 08:10:26.180 [async-service-1] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.180 [async-service-1] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.180 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [2], completedTaskCount [0], activeCount [2], queueSize [0]
2024-08-10 08:10:26.181 [async-service-2] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.181 [async-service-2] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.181 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [3], completedTaskCount [1], activeCount [2], queueSize [0]
2024-08-10 08:10:26.181 [async-service-3] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.181 [async-service-3] INFO  cn.minalz.threadpool.AsyncServiceImpl - end executeAsync
2024-08-10 08:10:26.181 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [4], completedTaskCount [2], activeCount [2], queueSize [0]
2024-08-10 08:10:26.181 [async-service-4] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
2024-08-10 08:10:26.182 [main] INFO  cn.minalz.threadpool.VisiableThreadPoolTaskExecutor - async-service-, 2. do submit,taskCount [5], completedTaskCount [3], activeCount [2], queueSize [0]
2024-08-10 08:10:26.182 [async-service-1] INFO  cn.minalz.threadpool.AsyncServiceImpl - start executeAsync
